year,report_code,report_name,period_order,revenue,operating_income,profit_before_tax,net_income,current_assets,noncurrent_assets,total_assets,current_liabilities,noncurrent_liabilities,total_liabilities,total_equity,operating_cash_flow,investing_cash_flow,financing_cash_flow,cash_and_cash_equivalents,accounts_receivable,inventory
2020,11013,1분기보고서,1,313276059812,1073681544,157661075025,115356769040,1253369445381,999044245348,2252413690729,398992076504,119672053225,518664129729,1733749561000,35635548412,189180299233,-7244779381,494522755107,351832798341,227857268920
2020,11012,반기보고서,2,415486495797,35657001526,47669529008,34302047893,1331558990917,1051479547033,2383038537950,462118149732,124339842124,586457991856,1796580546094,72734080454,220038286202,-17622090374,548287565036,377862490365,254125259468
2020,11014,3분기보고서,3,429680885082,20371266036,33485406408,28809240440,1249314831206,1145962263738,2395277094944,372046586041,165818710315,537865296356,1857411798588,23963260239,143584801589,1388402068,438010727730,413800106473,251846709479
2020,11011,사업보고서,4,1619865302675,84255098219,239891953125,190401937316,1195516580490,1198005520436,2393522100926,382174655875,164845251198,547019907073,1846502193853,28830248876,57594896794,11687628908,353490296919,442703668871,251985113922
2021,11013,1분기보고서,1,379033991821,13900978641,26700198911,20114280650,1280405653130,1231603452596,2512009105726,473209767868,177414895127,650624662995,1861384442731,132433682555,-17297509906,4560911834,482195215379,400683549039,270092186470
2021,11012,반기보고서,2,433338112038,23427315378,43390431418,33220936937,1213528458499,1242898218645,2456426677144,384883207094,182342864725,567226071819,1889200605325,60121659376,-220109122631,-18708597864,180775513577,425586898341,272999013616
2021,11014,3분기보고서,3,451467435126,6515739758,36403657070,30068350346,1206172164809,1251890479937,2458062644746,386008075280,161741963992,547750039272,1910312605474,58688681985,-186397055574,-32180905350,198006890680,454014069253,260016695125
2021,11011,사업보고서,4,1687810317744,48596120264,126060737101,99126677873,1224097103095,1239714701855,2463811804950,431979507891,95943209456,527922717347,1935889087603,99000468381,-167143273861,-36533134783,253587520811,461094533519,274780428440
2022,11013,1분기보고서,1,410853261385,6101960508,28318027217,16069140855,1353238514152,1127856498917,2481095013069,478428045112,91062620809,569490665921,1911604347148,35415734987,-51877419543,-32038435178,206134578744,469193870974,281583747203
2022,11012,반기보고서,2,482953244262,16936587207,43427779694,32928642120,1317015943204,1141365804636,2458381747840,440446278235,82802580180,523248858415,1935132889425,107147932133,-125378577787,-37345640606,194548849572,496384301421,279523005470
